person,#00AC0D
bicycle,#012F47
car,#0275B8
motorcycle,#03C098
airplane,#04434F
bus,#05FB29
train,#06C312
truck,#076728
boat,#0809B6
traffic-light,#09D3CF
fire-hydrant,#0A150B
street-sign,#0BF2A6
stop-sign,#0C246F
parking-meter,#0D575D
bench,#0E46F9
bird,#0FD881
cat,#1058DF
dog,#118C76
horse,#123A2C
sheep,#13C1D8
cow,#14E67D
elephant,#152718
bear,#165743
zebra,#17AED2
giraffe,#1858EF
hat,#195103
backpack,#1AA5EA
umbrella,#1B19CC
shoe,#1C4DE6
eye-glasses,#1D4823
handbag,#1E09D6
tie,#1F94FE
suitcase,#2073BD
frisbee,#21D0C5
skis,#22F3D7
snowboard,#23C52B
sports-ball,#24FE20
kite,#254F0B
baseball-bat,#26AF68
baseball-glove,#27C0D4
skateboard,#28528A
surfboard,#2963B6
tennis-racket,#2AD8EB
bottle,#2BB1A5
plate,#2CF37D
wine-glass,#2D1D9C
cup,#2E936F
fork,#2F93E8
knife,#308E02
spoon,#31A71B
bowl,#3220D3
banana,#33C1D9
apple,#340997
sandwich,#35B935
orange,#367F33
broccoli,#3720AE
carrot,#381F94
hot-dog,#39CAB5
pizza,#3AF41D
donut,#3B9743
cake,#3CA323
chair,#3DFE27
couch,#3ECB89
potted-plant,#3F7249
bed,#40B729
mirror,#411C97
dining-table,#422283
window,#43802E
desk,#4480DA
toilet,#45A4B2
door,#46356C
tv,#478503
laptop,#48261F
mouse,#49E809
remote,#4AF48A
keyboard,#4B111B
cell-phone,#4C4FAD
microwave,#4D84C7
oven,#4E69A7
toaster,#4F2A3D
sink,#50BA55
refrigerator,#511F61
blender,#52782C
book,#530122
clock,#5441A2
vase,#55E758
scissors,#56A921
teddy-bear,#573985
hair-drier,#5823E8
toothbrush,#5966FF
hair-brush,#5A7724
banner,#5B0B00
blanket,#5CAECB
branch,#5D5222
bridge,#5E5BC5
building-other,#5F807E
bush,#606E32
cabinet,#6163FE
cage,#623550
cardboard,#638CBE
carpet,#647988
ceiling-other,#65AABD
ceiling-tile,#665481
cloth,#67CBD1
clothes,#684470
clouds,#696969
counter,#6AC478
cupboard,#6B2F5B
curtain,#6C7FA8
desk-stuff,#6DF474
dirt,#6E6E28
door-stuff,#6FCCB0
fence,#706419
floor-marble,#71B443
floor-other,#72E867
floor-stone,#734EFC
floor-tile,#748F23
floor-wood,#759472
flower,#760000
fog,#77BA1D
food-other,#7817F1
fruit,#79CF21
furniture-other,#7A8D92
grass,#7BC800
gravel,#7C32C8
ground-other,#7D3054
hill,#7EC864
house,#7F4502
leaves,#80A945
light,#81A365
mat,#82C08C
metal,#835F2C
mirror-stuff,#84C575
moss,#855EFD
mountain,#869664
mud,#87716F
napkin,#88B25B
net,#892455
paper,#8AA2A7
pavement,#8B3027
pillow,#8C5DCB
plant,#8DE61E
plastic,#8E629E
platform,#8F2A91
playingfield,#90CDC6
railing,#9170C7
railroad,#92E712
river,#9364C8
road,#946E28
rock,#956432
roof,#9600B1
rug,#978A29
salad,#98725D
sand,#999900
sea,#9AC6DA
shelf,#9B7FC9
sky,#9CEEDD
skyscraper,#9DBBF2
snow,#9E9EAA
solid-other,#9F79DB
stairs,#A06249
stone,#A1A164
straw,#A2A3EB
structural,#A3DED1
table,#A47B69
tent,#A5C3BA
textile-other,#A65280
towel,#A7AED6
tree,#A8C832
vegetable,#A99410
wall-brick,#AAD16A
wall-concrete,#AB32A4
wall-other,#AC9B5E
wall-panel,#AD0E18
wall-stone,#AE2974
wall-tile,#AF3ABF
wall-wood,#B0C1C3
water,#B1C8FF
waterdrops,#B20A88
window-blind,#B356B8
window-other,#B42B5B
wood,#B57B00
